CustomerName       Customer LTV
Kim                     275444.0
Day                     247884.0
Schmidt                     238056.0
Sullivan                     219648.0
Lawson                     212003.99999999997
Rose                     186576.0
Howell                     186576.0
Franklin                     172452.06382159816
George                     170092.0
Fernandez                     168532.0
Hart                     167648.0
Rogers                     164216.00000000003
Reyes                     160992.0
Wood                     154908.0
Perry                     154232.0
Moreno                     153192.0
Diaz                     152308.0
Ford                     151424.0
Wright                     149448.0
Kelly                     143520.0
Olson                     142168.0
Ward                     141596.0
Owens                     138112.0
Morrison                     137228.0
Hayes                     136084.0
Hart                     136032.0
Ray                     135564.0
Fernandez                     134680.0
Hughes                     133328.0
Schmidt                     132964.0
Fields                     130676.0
Fuller                     130260.0
Lane                     120016.0
Edwards                     112060.0
Jenkins                     111436.0
Hernandez                     111331.99999999999
Smith                     104245.16250580127
Foster                     103271.99999999999
Little                     103116.0
Riley                     102596.0
Perez                     102492.0
Jackson                     102284.0
Rogers                     100958.74109055611
Allen                     100931.99999999999
Green                     99736.0
Johnston                     99528.00000000001
Watkins                     98488.00000000001
Chavez                     98176.0
Medina                     97551.99999999999
Palmer                     97084.0
Simpson                     96356.0
Elliott                     95004.0
Olson                     94848.00000000001
Stewart                     94432.0
Hernandez                     94171.99999999999
Austin                     93391.99999999999
Hill                     92560.0
Clark                     92404.0
Perez                     89908.00000000001
Stephens                     88608.00000000001
Rogers                     88400.0
Watson                     87464.0
Howell                     85382.24378254294
Foster                     84656.0
Coleman                     84551.99999999999
Parker                     83564.00000000001
Alexander                     81900.0
Day                     81224.0
Fisher                     79768.0
Mills                     78676.0
Arnold                     78676.0
Little                     77220.0
Ward                     77116.0
Taylor                     77012.0
Smith                     76492.0
Butler                     76156.31342093021
Collins                     76128.0
Carter                     75504.0
Myers                     75250.02285078433
Medina                     74717.85866338106
Mason                     73788.0
Gonzales                     73216.0
Andrews                     72800.0
Collins                     72696.0
Burton                     70824.0
Greene                     70512.0
Wilson                     69628.0
Dunn                     66560.0
Lane                     65743.60290230712
James                     65624.0
Stanley                     64375.99999999999
Morris                     63284.0
Fowler                     62868.0
Hudson                     58812.0
Meyer                     58240.0
Howard                     56992.0
Wheeler                     56680.0
Reynolds                     56315.99999999999
Gordon                     54968.70230948377
Gilbert                     54184.00000000001
